Stand: 12.01.2021 06:50:13;;;
;;;
;;;
Landkreis;LKNR;Anzahl;Inzidenz
LK Wolfenbüttel;03158;62;52
SK Wolfsburg;03103;103;83
SK Worms;07319;269;322
LK Wunsiedel i.Fichtelgebirge;09479;228;314
SK Wuppertal;05124;601;169
SK Würzburg;09663;105;82
LK Würzburg;09679;159;98
LK Zollernalbkreis;08417;293;155
SK Zweibrücken;07320;17;50
LK Zwickau;14524;1142;363
